"ISIN","Issue.Date","Coupon","Maturity.Date","URL","X2025.01.06","X2025.01.07","X2025.01.08","X2025.01.09","X2025.01.10","X2025.01.13","X2025.01.14","X2025.01.15","X2025.01.16","X2025.01.17","data_url"
"CA135087Q491","4/21/2023","3.25%","9/1/2028","https://markets.businessinsider.com/bonds/canadacd-bonds_202328-Bond-2028-ca135087q491",101.1,101.14,100.99,100.94,100.79,100.49,100.19,100.42,100.92,101.02,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20241118&to=20250118"
"CA135087P576","10/21/2022","3.50%","3/1/2028","https://markets.businessinsider.com/bonds/canadacd-bonds_202228-Bond-2028-ca135087p576",101.82,101.82,101.7,101.72,101.52,101.26,101.02,101.24,101.58,101.65,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20241118&to=20250118"
"CA135087R895","4/8/2024","3.50%","9/1/2029","https://markets.businessinsider.com/bonds/canadacd-bonds_202429-Bond-2029-ca135087r895",102.22,102.14,102.04,101.98,101.59,101.28,101,101.27,101.85,101.97,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20241118&to=20250118"
"CA135087Q988","10/13/2023","4.00%","3/1/2029","https://markets.businessinsider.com/bonds/canadacd-bonds_202329-Bond-2029-ca135087q988",104.07,104.01,103.9,103.87,103.53,103.29,102.99,103.24,103.8,103.9,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20241118&to=20250118"
"CA135087K528","10/11/2019","1.25%","3/1/2025","https://markets.businessinsider.com/bonds/canadacd-bonds_201925-Bond-2025-ca135087k528",99.73,99.73,99.74,99.73,99.74,99.73,99.73,99.77,99.78,99.8,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,50546643,1330,184&from=20241118&to=20250118"
"CA135087K940","4/3/2020","0.50%","9/1/2025","https://markets.businessinsider.com/bonds/canadacd-bonds_202025-Bond-2025-ca135087k940",98.4,98.41,98.4,98.42,98.37,98.36,98.36,98.4,98.47,98.5,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,53991397,1330,184&from=20241118&to=20250118"
"CA135087N837","5/13/2022","2.75%","9/1/2027","https://markets.businessinsider.com/bonds/canadacd-bonds_202227-Bond-2027-ca135087n837",99.63,99.56,99.54,99.58,99.27,99.13,99.02,99.2,99.5,99.53,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20241118&to=20250118"
"CA135087L518","10/9/2020","0.25%","3/1/2026","https://markets.businessinsider.com/bonds/canadacd-bonds_202026-Bond-2026-ca135087l518",96.99,96.98,96.97,97,96.9,96.91,96.8,96.9,97.01,97.06,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57601476,1330,184&from=20241118&to=20250118"
"CA135087L930","4/16/2021","1.00%","9/1/2026","https://markets.businessinsider.com/bonds/canadacd-bonds_202126-Bond-2026-ca135087l930",97.01,96.99,97,97.03,96.86,96.77,96.71,96.85,97.03,97.07,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20241118&to=20250118"
"CA135087M847","10/15/2021","1.25%","3/1/2027","https://markets.businessinsider.com/bonds/canadacd-bonds_202127-Bond-2027-ca135087m847",96.62,96.59,96.58,96.63,96.39,96.28,96.19,96.36,96.6,96.64,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20241118&to=20250118"
