"","Yield_1","Yield_2","Yield_3","Yield_4","Yield_5","Yield_6","Yield_7","Yield_8","Yield_9","Yield_10"
"Yield_1",6.68484142946769e-06,5.18677990455705e-06,7.49474310779674e-06,6.90165621799845e-06,2.16015103251854e-07,7.50556046181426e-07,3.91960871621385e-06,1.64467038042422e-06,2.48093223275893e-06,3.3131029486476e-06
"Yield_2",5.18677990455705e-06,4.20589069204904e-06,6.03729307729777e-06,5.53356103310667e-06,1.74818030342231e-07,6.35969985608851e-07,3.35027218697521e-06,1.39771944522987e-06,2.12713921291496e-06,2.84631565957229e-06
"Yield_3",7.49474310779674e-06,6.03729307729777e-06,9.25827647461365e-06,8.42767236228959e-06,2.44105780399548e-07,9.92488899899747e-07,5.25244135348472e-06,2.10245338260905e-06,3.28440777274356e-06,4.38893087516818e-06
"Yield_4",6.90165621799845e-06,5.53356103310667e-06,8.42767236228959e-06,7.73803895290883e-06,2.0770848888571e-07,9.00347573819284e-07,4.75944305594557e-06,1.97412813596792e-06,2.96155956381093e-06,3.97961638337026e-06
"Yield_5",2.16015103251854e-07,1.74818030342231e-07,2.44105780399548e-07,2.0770848888571e-07,2.45660375917977e-08,1.81068434407852e-08,1.17261841649074e-07,5.24576260667969e-08,8.71626697478825e-08,1.03388419897156e-07
"Yield_6",7.50556046181426e-07,6.35969985608851e-07,9.92488899899747e-07,9.00347573819284e-07,1.81068434407852e-08,1.22460576951362e-07,6.06181918557388e-07,2.34834281990001e-07,3.72672016931865e-07,5.06697447014418e-07
"Yield_7",3.91960871621385e-06,3.35027218697521e-06,5.25244135348472e-06,4.75944305594557e-06,1.17261841649074e-07,6.06181918557388e-07,3.25464396318931e-06,1.26072317698313e-06,2.01798636205705e-06,2.71460273173562e-06
"Yield_8",1.64467038042422e-06,1.39771944522987e-06,2.10245338260905e-06,1.97412813596792e-06,5.24576260667969e-08,2.34834281990001e-07,1.26072317698313e-06,6.30292897735095e-07,7.85821808978847e-07,1.069289635217e-06
"Yield_9",2.48093223275893e-06,2.12713921291496e-06,3.28440777274356e-06,2.96155956381093e-06,8.71626697478825e-08,3.72672016931865e-07,2.01798636205705e-06,7.85821808978847e-07,1.26754900939574e-06,1.69317256213216e-06
"Yield_10",3.3131029486476e-06,2.84631565957229e-06,4.38893087516818e-06,3.97961638337026e-06,1.03388419897156e-07,5.06697447014418e-07,2.71460273173562e-06,1.069289635217e-06,1.69317256213216e-06,2.27627077976718e-06
